type,distribution,algorithm,n,batch,reps,median_ns_total,min_ns_total,ns_per_elem
i64,few_unique,std_partition,16,4096,64,136123.0,134813.0,2.0771
i64,few_unique,lomuto,16,4096,64,127903.0,126082.0,1.9516
i64,few_unique,lomuto_branchless,16,4096,64,40221.0,40051.0,0.6137
i64,few_unique,hoare,16,4096,64,147094.0,145153.0,2.2445
i64,few_unique,hoare_guarded,16,4096,64,132683.0,130603.0,2.0246
i64,few_unique,block,16,4096,64,143084.0,140923.0,2.1833
i64,few_unique,boost_block,16,4096,64,101923.0,101422.0,1.5552
i64,few_unique,fulcrum,16,4096,64,108023.0,107042.0,1.6483
i64,few_unique,block_simd_amd,16,4096,64,102862.0,102242.0,1.5695
i64,few_unique,sized,16,4096,64,40481.0,40251.0,0.6177
i64,few_unique,std_partition,24,2730,64,143044.0,140693.0,2.1832
i64,few_unique,lomuto,24,2730,64,126143.0,124363.0,1.9253
i64,few_unique,lomuto_branchless,24,2730,64,40131.0,39951.0,0.6125
i64,few_unique,hoare,24,2730,64,151394.0,150313.0,2.3107
i64,few_unique,hoare_guarded,24,2730,64,150284.0,147643.0,2.2937
i64,few_unique,block,24,2730,64,146133.0,143574.0,2.2304
i64,few_unique,boost_block,24,2730,64,80132.0,79511.0,1.2230
i64,few_unique,fulcrum,24,2730,64,84192.0,83871.0,1.2850
i64,few_unique,block_simd_amd,24,2730,64,81712.0,80572.0,1.2471
i64,few_unique,sized,24,2730,64,40691.0,40371.0,0.6210
i64,few_unique,std_partition,64,1024,64,141473.0,138693.0,2.1587
i64,few_unique,lomuto,64,1024,64,114812.0,113742.0,1.7519
i64,few_unique,lomuto_branchless,64,1024,64,40491.0,40300.0,0.6178
i64,few_unique,hoare,64,1024,64,143603.0,142204.0,2.1912
i64,few_unique,hoare_guarded,64,1024,64,147794.0,145853.0,2.2552
i64,few_unique,block,64,1024,64,137593.0,134923.0,2.0995
i64,few_unique,boost_block,64,1024,64,52412.0,51812.0,0.7997
i64,few_unique,fulcrum,64,1024,64,53942.0,53071.0,0.8231
i64,few_unique,block_simd_amd,64,1024,64,52591.0,52231.0,0.8025
i64,few_unique,sized,64,1024,64,40741.0,40501.0,0.6217
i64,few_unique,std_partition,256,256,64,139693.0,138063.0,2.1315
i64,few_unique,lomuto,256,256,64,114842.0,113543.0,1.7523
i64,few_unique,lomuto_branchless,256,256,64,40871.0,40501.0,0.6236
i64,few_unique,hoare,256,256,64,143123.0,141973.0,2.1839
i64,few_unique,hoare_guarded,256,256,64,142774.0,141763.0,2.1786
i64,few_unique,block,256,256,64,135783.0,134213.0,2.0719
i64,few_unique,boost_block,256,256,64,46502.0,45961.0,0.7096
i64,few_unique,fulcrum,256,256,64,33011.0,32610.0,0.5037
i64,few_unique,block_simd_amd,256,256,64,48011.0,46561.0,0.7326
i64,few_unique,sized,256,256,64,42631.0,42341.0,0.6505
i64,few_unique,std_partition,1024,64,64,138364.0,134253.0,2.1113
i64,few_unique,lomuto,1024,64,64,118152.0,116453.0,1.8029
i64,few_unique,lomuto_branchless,1024,64,64,40360.0,40241.0,0.6158
i64,few_unique,hoare,1024,64,64,142413.0,141073.0,2.1730
i64,few_unique,hoare_guarded,1024,64,64,140924.0,138674.0,2.1503
