section,type,dist,n,route,ns_per_elem
partition,pair64,random_uniform,262144,rev_view,0.8864
partition,pair64,random_uniform,1048576,fwd,0.8375
partition,pair64,random_uniform,1048576,rev_rw,0.8346
partition,pair64,random_uniform,1048576,rev_neg,0.8406
partition,pair64,random_uniform,1048576,rev_view,1.0941
partition,pair64,random_uniform,4194304,fwd,0.9994
partition,pair64,random_uniform,4194304,rev_rw,0.9755
partition,pair64,random_uniform,4194304,rev_neg,0.9787
partition,pair64,random_uniform,4194304,rev_view,1.1798
quicksort,pair64,random_uniform,4096,qs_fwd,19.8860
quicksort,pair64,random_uniform,4096,qs_rev_rw,19.5369
quicksort,pair64,random_uniform,4096,qs_rev_view,23.0039
quicksort,pair64,random_uniform,1048576,qs_fwd,37.0106
quicksort,pair64,random_uniform,1048576,qs_rev_rw,36.6637
quicksort,pair64,random_uniform,1048576,qs_rev_view,42.5409
quicksort,pair64,random_uniform,4194304,qs_fwd,39.2831
quicksort,pair64,random_uniform,4194304,qs_rev_rw,39.4153
quicksort,pair64,random_uniform,4194304,qs_rev_view,44.7195
partition,pair64,few_unique,8,fwd,5.1581
partition,pair64,few_unique,8,rev_rw,5.1496
partition,pair64,few_unique,8,rev_neg,4.8873
partition,pair64,few_unique,8,rev_view,5.1832
partition,pair64,few_unique,16,fwd,5.1299
partition,pair64,few_unique,16,rev_rw,5.0957
partition,pair64,few_unique,16,rev_neg,4.8772
partition,pair64,few_unique,16,rev_view,5.1236
partition,pair64,few_unique,24,fwd,4.8589
partition,pair64,few_unique,24,rev_rw,4.8399
partition,pair64,few_unique,24,rev_neg,4.6528
partition,pair64,few_unique,24,rev_view,4.8860
partition,pair64,few_unique,64,fwd,1.6265
partition,pair64,few_unique,64,rev_rw,1.6218
partition,pair64,few_unique,64,rev_neg,1.6204
partition,pair64,few_unique,64,rev_view,1.7318
partition,pair64,few_unique,256,fwd,1.1393
partition,pair64,few_unique,256,rev_rw,1.1628
partition,pair64,few_unique,256,rev_neg,1.1553
partition,pair64,few_unique,256,rev_view,1.2827
partition,pair64,few_unique,1024,fwd,0.8638
partition,pair64,few_unique,1024,rev_rw,0.8779
partition,pair64,few_unique,1024,rev_neg,0.8725
partition,pair64,few_unique,1024,rev_view,1.1154
partition,pair64,few_unique,4096,fwd,0.7904
partition,pair64,few_unique,4096,rev_rw,0.8002
partition,pair64,few_unique,4096,rev_neg,0.7938
partition,pair64,few_unique,4096,rev_view,1.0604
partition,pair64,few_unique,65536,fwd,0.7918
partition,pair64,few_unique,65536,rev_rw,0.7901
partition,pair64,few_unique,65536,rev_neg,0.7903
partition,pair64,few_unique,65536,rev_view,1.1635
partition,pair64,few_unique,262144,fwd,2.8723
partition,pair64,few_unique,262144,rev_rw,2.8616
partition,pair64,few_unique,262144,rev_neg,2.8514
partition,pair64,few_unique,262144,rev_view,2.8918
partition,pair64,few_unique,1048576,fwd,1.8819
partition,pair64,few_unique,1048576,rev_rw,1.9086
partition,pair64,few_unique,1048576,rev_neg,1.9034
partition,pair64,few_unique,1048576,rev_view,1.9958
partition,pair64,few_unique,4194304,fwd,1.2584
partition,pair64,few_unique,4194304,rev_rw,1.2669
partition,pair64,few_unique,4194304,rev_neg,1.2636
partition,pair64,few_unique,4194304,rev_view,1.5133
quicksort,pair64,few_unique,4096,qs_fwd,37.2622
quicksort,pair64,few_unique,4096,qs_rev_rw,34.7500
quicksort,pair64,few_unique,4096,qs_rev_view,45.2483
quicksort,pair64,few_unique,1048576,qs_fwd,360.0417
quicksort,pair64,few_unique,1048576,qs_rev_rw,295.0168
quicksort,pair64,few_unique,1048576,qs_rev_view,370.7334
quicksort,pair64,few_unique,4194304,qs_fwd,687.2264
quicksort,pair64,few_unique,4194304,qs_rev_rw,491.9020
quicksort,pair64,few_unique,4194304,qs_rev_view,700.9247
partition,pair64,sorted_descending,8,fwd,0.9531
partition,pair64,sorted_descending,8,rev_rw,1.0227
partition,pair64,sorted_descending,8,rev_neg,1.0701
partition,pair64,sorted_descending,8,rev_view,1.2320
partition,pair64,sorted_descending,16,fwd,1.0329
partition,pair64,sorted_descending,16,rev_rw,1.0216
partition,pair64,sorted_descending,16,rev_neg,0.9719
partition,pair64,sorted_descending,16,rev_view,1.2854
partition,pair64,sorted_descending,24,fwd,1.0315
partition,pair64,sorted_descending,24,rev_rw,1.2583
partition,pair64,sorted_descending,24,rev_neg,1.2391
partition,pair64,sorted_descending,24,rev_view,1.3119
partition,pair64,sorted_descending,64,fwd,1.1876
partition,pair64,sorted_descending,64,rev_rw,1.0245
partition,pair64,sorted_descending,64,rev_neg,1.0529
partition,pair64,sorted_descending,64,rev_view,0.8518
partition,pair64,sorted_descending,256,fwd,1.1780
partition,pair64,sorted_descending,256,rev_rw,1.0125
partition,pair64,sorted_descending,256,rev_neg,0.9445
partition,pair64,sorted_descending,256,rev_view,0.9255
partition,pair64,sorted_descending,1024,fwd,1.1866
partition,pair64,sorted_descending,1024,rev_rw,0.5445
partition,pair64,sorted_descending,1024,rev_neg,0.5733
partition,pair64,sorted_descending,1024,rev_view,0.5776
partition,pair64,sorted_descending,4096,fwd,1.0628
partition,pair64,sorted_descending,4096,rev_rw,0.4360
partition,pair64,sorted_descending,4096,rev_neg,0.4646
partition,pair64,sorted_descending,4096,rev_view,0.4761
partition,pair64,sorted_descending,65536,fwd,1.1428
partition,pair64,sorted_descending,65536,rev_rw,0.4624
partition,pair64,sorted_descending,65536,rev_neg,0.4869
partition,pair64,sorted_descending,65536,rev_view,0.4943
partition,pair64,sorted_descending,262144,fwd,1.0566
partition,pair64,sorted_descending,262144,rev_rw,0.3516
partition,pair64,sorted_descending,262144,rev_neg,0.6037
partition,pair64,sorted_descending,262144,rev_view,0.4215
partition,pair64,sorted_descending,1048576,fwd,1.0849
partition,pair64,sorted_descending,1048576,rev_rw,0.5764
partition,pair64,sorted_descending,1048576,rev_neg,0.6223
partition,pair64,sorted_descending,1048576,rev_view,0.5470
partition,pair64,sorted_descending,4194304,fwd,1.1141
partition,pair64,sorted_descending,4194304,rev_rw,0.7005
partition,pair64,sorted_descending,4194304,rev_neg,0.7596
partition,pair64,sorted_descending,4194304,rev_view,0.7116
quicksort,pair64,sorted_descending,4096,qs_fwd,14.5293
quicksort,pair64,sorted_descending,4096,qs_rev_rw,13.2451
quicksort,pair64,sorted_descending,4096,qs_rev_view,14.5662
quicksort,pair64,sorted_descending,1048576,qs_fwd,18.6757
quicksort,pair64,sorted_descending,1048576,qs_rev_rw,18.0338
quicksort,pair64,sorted_descending,1048576,qs_rev_view,19.2269
quicksort,pair64,sorted_descending,4194304,qs_fwd,19.5193
