type,case,algo,n,k,delta,total_ops,samples,min_ns,p50_ns,p90_ns,mean_ns,cv_pct
i64,a,std::sort,6,4,2,5002276,458,15.433,15.661,15.974,15.711,1.08
i64,b,extend_sorted,6,4,2,5002276,458,10.385,10.660,10.775,10.666,1.20
i64,b,merge_sorted,6,4,2,5002276,458,14.417,14.659,15.011,14.722,1.37
i64,b,merge_branchless,6,4,2,5002276,458,16.124,16.330,16.664,16.384,1.13
i64,b,sort_network,6,4,2,5002276,458,1.966,1.984,1.997,1.990,2.31
i64,b,std::inplace_merge,6,4,2,5002276,458,23.121,23.517,23.898,23.570,1.30
i64,b,std::merge,6,4,2,5002276,458,13.482,13.673,13.982,13.729,1.53
i64,a,extend_sorted,6,3,3,5002276,458,17.792,18.097,18.437,18.156,1.59
i64,a,extend_scan,6,3,3,5002276,458,23.529,23.915,24.321,24.002,1.86
i64,a,extend_bsearch,6,3,3,5002276,458,30.392,31.044,31.414,31.172,3.86
i64,a,sort_network,6,3,3,5002276,458,1.966,1.988,1.999,2.001,3.97
i64,a,std::sort,6,3,3,5002276,458,20.578,20.868,21.226,20.954,2.12
i64,b,extend_sorted,6,3,3,5002276,458,12.369,12.661,12.941,12.706,2.04
i64,b,merge_sorted,6,3,3,5002276,458,16.720,16.996,17.366,17.084,2.24
i64,b,merge_branchless,6,3,3,5002276,458,17.875,18.129,18.463,18.202,2.19
i64,b,sort_network,6,3,3,5002276,458,1.967,1.991,2.002,2.005,3.72
i64,b,std::inplace_merge,6,3,3,5002276,458,23.857,24.222,24.597,24.300,1.87
i64,b,std::merge,6,3,3,5002276,458,15.000,15.205,15.558,15.279,2.30
i64,a,extend_sorted,6,2,4,5002276,458,22.287,22.933,23.424,23.006,1.65
i64,a,extend_scan,6,2,4,5002276,458,30.752,31.289,31.689,31.447,4.56
i64,a,extend_bsearch,6,2,4,5002276,458,38.264,38.991,39.449,39.191,2.44
i64,a,sort_network,6,2,4,5002276,458,1.966,1.994,2.013,2.018,7.51
i64,a,std::sort,6,2,4,5002276,458,25.442,25.963,26.366,26.083,1.82
i64,b,extend_sorted,6,2,4,5002276,458,12.167,12.528,12.820,12.574,1.82
i64,b,merge_sorted,6,2,4,5002276,458,16.064,16.455,16.821,16.508,2.17
i64,b,merge_branchless,6,2,4,5002276,458,18.284,18.858,19.322,18.949,1.92
