type,n,f,p,algo,ns_per_suffix_elem,k_ratio
pair64,65536,0.10,0.50,pivot_first,0.8014,0.954
pair64,65536,0.10,0.50,ninther_first,0.7643,0.750
pair64,65536,0.10,0.90,ref,5.1494,1.000
pair64,65536,0.10,0.90,exact,2.5308,1.000
pair64,65536,0.10,0.90,two_phase,0.8886,0.997
pair64,65536,0.10,0.90,pivot_first,0.8492,0.997
pair64,65536,0.10,0.90,ninther_first,0.8275,0.929
pair64,65536,0.50,0.10,ref,2.3875,1.000
pair64,65536,0.50,0.10,exact,0.9211,1.000
pair64,65536,0.50,0.10,two_phase,0.7697,0.911
pair64,65536,0.50,0.10,pivot_first,0.7572,0.911
pair64,65536,0.50,0.10,ninther_first,0.9168,1.000
pair64,65536,0.50,0.50,ref,13.0031,1.000
pair64,65536,0.50,0.50,exact,2.0353,1.000
pair64,65536,0.50,0.50,two_phase,0.9201,0.919
pair64,65536,0.50,0.50,pivot_first,0.8365,0.919
pair64,65536,0.50,0.50,ninther_first,2.0371,1.000
pair64,65536,0.50,0.90,ref,5.4662,1.000
pair64,65536,0.50,0.90,exact,2.6197,1.000
pair64,65536,0.50,0.90,two_phase,1.0623,0.962
pair64,65536,0.50,0.90,pivot_first,0.9183,0.962
pair64,65536,0.50,0.90,ninther_first,0.8499,0.843
pair64,65536,0.90,0.10,ref,9.4541,0.998
pair64,65536,0.90,0.10,exact,0.8636,0.998
pair64,65536,0.90,0.10,two_phase,0.8850,1.145
pair64,65536,0.90,0.10,pivot_first,0.8621,1.145
pair64,65536,0.90,0.10,ninther_first,0.8651,0.998
pair64,65536,0.90,0.50,ref,35.8526,1.000
pair64,65536,0.90,0.50,exact,1.8767,1.000
pair64,65536,0.90,0.50,two_phase,1.1199,0.988
pair64,65536,0.90,0.50,pivot_first,1.0131,0.988
pair64,65536,0.90,0.50,ninther_first,1.8860,1.000
pair64,65536,0.90,0.90,ref,14.5748,1.000
pair64,65536,0.90,0.90,exact,2.6137,1.000
pair64,65536,0.90,0.90,two_phase,1.2069,0.967
pair64,65536,0.90,0.90,pivot_first,1.1031,0.967
pair64,65536,0.90,0.90,ninther_first,0.7995,0.660
pair64,1048576,0.10,0.10,ref,6.9184,1.000
pair64,1048576,0.10,0.10,exact,0.9400,1.000
pair64,1048576,0.10,0.10,two_phase,0.7296,0.805
pair64,1048576,0.10,0.10,pivot_first,0.7333,0.805
pair64,1048576,0.10,0.10,ninther_first,0.9370,1.000
pair64,1048576,0.10,0.50,ref,4.7869,1.000
pair64,1048576,0.10,0.50,exact,1.6879,1.000
pair64,1048576,0.10,0.50,two_phase,0.8351,0.980
pair64,1048576,0.10,0.50,pivot_first,0.7935,0.980
pair64,1048576,0.10,0.50,ninther_first,1.6873,1.000
pair64,1048576,0.10,0.90,ref,6.3181,1.000
pair64,1048576,0.10,0.90,exact,2.3290,1.000
pair64,1048576,0.10,0.90,two_phase,0.8755,1.033
pair64,1048576,0.10,0.90,pivot_first,0.8416,1.033
pair64,1048576,0.10,0.90,ninther_first,0.8377,1.094
pair64,1048576,0.50,0.10,ref,5.4684,1.000
pair64,1048576,0.50,0.10,exact,0.9280,1.000
pair64,1048576,0.50,0.10,two_phase,0.7400,1.096
pair64,1048576,0.50,0.10,pivot_first,0.7306,1.096
pair64,1048576,0.50,0.10,ninther_first,0.9322,1.000
pair64,1048576,0.50,0.50,ref,10.2837,1.000
pair64,1048576,0.50,0.50,exact,1.9596,1.000
pair64,1048576,0.50,0.50,two_phase,0.8904,0.993
pair64,1048576,0.50,0.50,pivot_first,0.8059,0.993
pair64,1048576,0.50,0.50,ninther_first,1.9570,1.000
pair64,1048576,0.50,0.90,ref,14.8553,1.000
pair64,1048576,0.50,0.90,exact,3.1726,1.000
pair64,1048576,0.50,0.90,two_phase,1.0250,0.979
pair64,1048576,0.50,0.90,pivot_first,0.8948,0.979
pair64,1048576,0.50,0.90,ninther_first,0.9274,1.172
pair64,1048576,0.90,0.10,ref,32.2013,1.000
pair64,1048576,0.90,0.10,exact,0.9250,1.000
pair64,1048576,0.90,0.10,two_phase,0.7350,0.876
pair64,1048576,0.90,0.10,pivot_first,0.7373,0.876
pair64,1048576,0.90,0.10,ninther_first,0.9252,1.000
pair64,1048576,0.90,0.50,ref,62.4881,1.000
pair64,1048576,0.90,0.50,exact,2.3369,1.000
pair64,1048576,0.90,0.50,two_phase,0.9259,1.083
pair64,1048576,0.90,0.50,pivot_first,0.8205,1.083
pair64,1048576,0.90,0.50,ninther_first,2.3463,1.000
pair64,1048576,0.90,0.90,ref,52.3559,1.000
pair64,1048576,0.90,0.90,exact,3.0604,1.000
pair64,1048576,0.90,0.90,two_phase,1.0580,1.054
pair64,1048576,0.90,0.90,pivot_first,0.9311,1.054
pair64,1048576,0.90,0.90,ninther_first,0.7909,0.518
pair64,4194304,0.10,0.10,ref,8.3618,1.000
pair64,4194304,0.10,0.10,exact,1.1914,1.000
pair64,4194304,0.10,0.10,two_phase,0.9654,0.973
pair64,4194304,0.10,0.10,pivot_first,0.8966,0.973
pair64,4194304,0.10,0.10,ninther_first,1.1918,1.000
pair64,4194304,0.10,0.50,ref,7.8008,1.000
pair64,4194304,0.10,0.50,exact,2.1176,1.000
pair64,4194304,0.10,0.50,two_phase,1.1783,1.029
pair64,4194304,0.10,0.50,pivot_first,1.0661,1.029
pair64,4194304,0.10,0.50,ninther_first,1.1182,1.462
pair64,4194304,0.10,0.90,ref,7.6900,1.000
pair64,4194304,0.10,0.90,exact,2.8726,1.000
pair64,4194304,0.10,0.90,two_phase,1.2312,0.917
pair64,4194304,0.10,0.90,pivot_first,1.1170,0.917
pair64,4194304,0.10,0.90,ninther_first,1.1544,1.229
pair64,4194304,0.50,0.10,ref,9.8041,1.000
pair64,4194304,0.50,0.10,exact,1.1366,1.000
pair64,4194304,0.50,0.10,two_phase,0.9630,1.082
pair64,4194304,0.50,0.10,pivot_first,0.9055,1.082
pair64,4194304,0.50,0.10,ninther_first,1.1304,1.000
pair64,4194304,0.50,0.50,ref,4.4494,1.000
pair64,4194304,0.50,0.50,exact,2.8113,1.000
pair64,4194304,0.50,0.50,two_phase,1.4029,1.121
pair64,4194304,0.50,0.50,pivot_first,1.1600,1.121
