type,dist,p,n,algo,ns_per_elem,k_over_S,ns_per_k,ns_per_min
i64,few_unique,0.10,65536,rev_part_until,1.0140,0.919,11.3343,128.5358
i64,few_unique,0.10,262144,ref,2.8888,0.500,58.1668,58.1668
i64,few_unique,0.10,262144,count_select,1.1248,0.500,22.6479,22.6479
i64,few_unique,0.10,262144,fwd_key_select,0.7381,0.500,14.8620,14.8620
i64,few_unique,0.10,262144,key_select,0.6877,0.500,13.8481,13.8481
i64,few_unique,0.10,262144,rev_count_select,1.2542,0.500,25.2542,25.2542
i64,few_unique,0.10,262144,key_one_part,0.4487,0.668,6.7610,13.6081
i64,few_unique,0.10,262144,fwd_sample,0.3815,0.587,6.5390,9.3045
i64,few_unique,0.10,262144,sample,0.3738,0.587,6.4082,9.1183
i64,few_unique,0.10,262144,part_until,0.7438,0.919,8.1482,92.4066
i64,few_unique,0.10,262144,rev_part_until,0.8349,0.762,11.0262,35.3644
i64,few_unique,0.10,1048576,ref,4.0198,0.500,80.7413,80.7413
i64,few_unique,0.10,1048576,count_select,1.5179,0.500,30.4883,30.4883
i64,few_unique,0.10,1048576,fwd_key_select,0.7284,0.500,14.6295,14.6295
i64,few_unique,0.10,1048576,key_select,0.6112,0.500,12.2762,12.2762
i64,few_unique,0.10,1048576,rev_count_select,1.0361,0.500,20.8108,20.8108
i64,few_unique,0.10,1048576,key_one_part,0.4567,0.334,13.7234,13.7234
i64,few_unique,0.10,1048576,fwd_sample,0.3969,0.599,6.6573,9.9329
i64,few_unique,0.10,1048576,sample,0.3911,0.599,6.5609,9.7890
i64,few_unique,0.10,1048576,part_until,1.1589,0.385,30.2483,30.2483
i64,few_unique,0.10,1048576,rev_part_until,0.7905,0.414,19.1858,19.1858
i64,few_unique,0.10,4194304,ref,5.1825,0.500,103.9225,103.9225
i64,few_unique,0.10,4194304,count_select,1.6800,0.500,33.6890,33.6890
i64,few_unique,0.10,4194304,fwd_key_select,0.7848,0.500,15.7369,15.7369
i64,few_unique,0.10,4194304,key_select,0.6694,0.500,13.4239,13.4239
i64,few_unique,0.10,4194304,rev_count_select,1.6467,0.500,33.0213,33.0213
i64,few_unique,0.10,4194304,key_one_part,0.5948,0.442,13.4966,13.4966
i64,few_unique,0.10,4194304,fwd_sample,0.5317,0.515,10.3511,10.9934
i64,few_unique,0.10,4194304,sample,0.4854,0.515,9.4493,10.0357
i64,few_unique,0.10,4194304,part_until,1.2045,0.795,15.1979,58.7988
i64,few_unique,0.10,4194304,rev_part_until,1.2455,0.339,36.7941,36.7941
i64,few_unique,0.50,65536,ref,3.3937,0.500,13.6540,13.6540
i64,few_unique,0.50,65536,count_select,1.5351,0.500,6.1762,6.1762
i64,few_unique,0.50,65536,fwd_key_select,1.2749,0.500,5.1295,5.1295
i64,few_unique,0.50,65536,key_select,1.2429,0.500,5.0005,5.0005
i64,few_unique,0.50,65536,rev_count_select,1.4562,0.500,5.8588,5.8588
