type,dist,p,n,algo,ns_per_elem,k_over_S,ns_per_k,ns_per_min
pair64f,few_unique,0.50,1048576,rev_part_until,0.7955,0.205,7.7609,7.7609
pair64f,few_unique,0.50,4194304,ref,5.9099,0.500,23.6419,23.6419
pair64f,few_unique,0.50,4194304,count_select,3.2730,0.500,13.0935,13.0935
pair64f,few_unique,0.50,4194304,fwd_key_select,2.1339,0.500,8.5364,8.5364
pair64f,few_unique,0.50,4194304,key_select,1.9029,0.500,7.6125,7.6125
pair64f,few_unique,0.50,4194304,rev_count_select,2.7291,0.500,10.9175,10.9175
pair64f,few_unique,0.50,4194304,key_one_part,1.8141,0.582,6.2393,8.6721
pair64f,few_unique,0.50,4194304,fwd_sample,1.3506,0.486,5.5602,5.5602
pair64f,few_unique,0.50,4194304,sample,0.9296,0.486,3.8270,3.8270
pair64f,few_unique,0.50,4194304,part_until,2.2380,0.985,4.5431,304.7726
pair64f,few_unique,0.50,4194304,rev_part_until,1.8521,0.520,7.1229,7.7195
pair64f,few_unique,0.90,65536,ref,5.4003,0.500,12.0089,12.0089
pair64f,few_unique,0.90,65536,count_select,2.0139,0.500,4.4785,4.4785
pair64f,few_unique,0.90,65536,fwd_key_select,1.9051,0.500,4.2365,4.2365
pair64f,few_unique,0.90,65536,key_select,1.5749,0.500,3.5022,3.5022
pair64f,few_unique,0.90,65536,rev_count_select,1.4887,0.500,3.3105,3.3105
pair64f,few_unique,0.90,65536,key_one_part,1.0769,0.578,2.0712,2.8378
pair64f,few_unique,0.90,65536,fwd_sample,0.7410,0.506,1.6293,1.6667
pair64f,few_unique,0.90,65536,sample,0.5298,0.506,1.1650,1.1917
pair64f,few_unique,0.90,65536,part_until,0.6758,0.687,1.0943,2.3986
pair64f,few_unique,0.90,65536,rev_part_until,0.4933,0.687,0.7988,1.7508
pair64f,few_unique,0.90,262144,ref,4.2279,0.500,9.3990,9.3990
pair64f,few_unique,0.90,262144,count_select,1.6079,0.500,3.5745,3.5745
pair64f,few_unique,0.90,262144,fwd_key_select,1.5274,0.500,3.3956,3.3956
pair64f,few_unique,0.90,262144,key_select,1.8798,0.500,4.1789,4.1789
pair64f,few_unique,0.90,262144,rev_count_select,1.3175,0.500,2.9288,2.9288
pair64f,few_unique,0.90,262144,key_one_part,1.0902,0.500,2.4250,2.4250
pair64f,few_unique,0.90,262144,fwd_sample,0.7513,0.538,1.5522,1.8075
pair64f,few_unique,0.90,262144,sample,0.5233,0.538,1.0811,1.2590
pair64f,few_unique,0.90,262144,part_until,0.6871,0.429,1.7782,1.7782
pair64f,few_unique,0.90,262144,rev_part_until,0.5097,0.429,1.3192,1.3192
pair64f,few_unique,0.90,1048576,ref,5.9971,0.500,13.3279,13.3279
pair64f,few_unique,0.90,1048576,count_select,1.5708,0.500,3.4910,3.4910
pair64f,few_unique,0.90,1048576,fwd_key_select,2.0868,0.500,4.6378,4.6378
pair64f,few_unique,0.90,1048576,key_select,1.6970,0.500,3.7714,3.7714
pair64f,few_unique,0.90,1048576,rev_count_select,1.6111,0.500,3.5805,3.5805
pair64f,few_unique,0.90,1048576,key_one_part,1.0593,0.697,1.6875,3.8910
pair64f,few_unique,0.90,1048576,fwd_sample,0.7617,0.515,1.6445,1.7439
pair64f,few_unique,0.90,1048576,sample,0.5357,0.515,1.1566,1.2265
pair64f,few_unique,0.90,1048576,part_until,0.7302,0.670,1.2102,2.4622
pair64f,few_unique,0.90,1048576,rev_part_until,0.5275,0.670,0.8742,1.7785
pair64f,few_unique,0.90,4194304,ref,7.0268,0.500,15.6162,15.6162
pair64f,few_unique,0.90,4194304,count_select,3.7481,0.500,8.3296,8.3296
pair64f,few_unique,0.90,4194304,fwd_key_select,3.5292,0.500,7.8431,7.8431
pair64f,few_unique,0.90,4194304,key_select,2.3901,0.500,5.3117,5.3117
pair64f,few_unique,0.90,4194304,rev_count_select,2.7369,0.500,6.0823,6.0823
pair64f,few_unique,0.90,4194304,key_one_part,2.0773,0.342,6.7581,6.7581
pair64f,few_unique,0.90,4194304,fwd_sample,1.6481,0.480,3.8129,3.8129
pair64f,few_unique,0.90,4194304,sample,0.9648,0.480,2.2321,2.2321
pair64f,few_unique,0.90,4194304,part_until,1.4053,0.738,2.1158,5.9603
pair64f,few_unique,0.90,4194304,rev_part_until,0.9380,0.738,1.4123,3.9784
